idveiculo,dia,mes,diadasemana,hora,Velocidade,Longitude,Latitude,Eventos
33,2,3,3,0.09777777778,32,-49.14170074,-5.388010025,3
34,24,3,4,0.39798611111,32,-49.1310997,-5.370210171,3
34,16,3,3,0.67274305556,25,-49.13010025,-5.385690212,3
1,18,4,1,0.75351851852,27,-49.12659836,-5.372260094,3
1,18,4,1,0.75355324074,16,-49.12639999,-5.372129917,3
34,27,3,7,0.63178240741,43,-49.12440109,-5.362520218,3
1,17,4,7,0.74572916667,55,-49.1230011,-5.358389854,3
1,18,4,1,0.02083333333,47,-49.12210083,-5.355309963,3
34,27,3,7,0.66892361111,39,-49.11859894,-5.427360058,3
1,18,4,1,0.75655092593,33,-49.11809921,-5.37278986,3
1,18,4,1,0.27587962963,56,-49.11029816,-5.350659847,3
34,28,3,1,0.62081018519,63,-49.10749817,-5.350379944,3
1,17,4,7,0.51554398148,50,-49.10409927,-5.350419998,3
1,18,4,1,0.56140046296,59,-49.10390091,-5.350289822,3
1,19,4,2,0.67545138889,19,-49.10390091,-5.408880234,3
1,19,4,2,0.67548611111,19,-49.10390091,-5.408880234,3
1,19,4,2,0.67554398148,19,-49.10390091,-5.408880234,3
1,19,4,2,0.67561342593,19,-49.10390091,-5.408880234,3
1,19,4,2,0.67569444444,19,-49.10390091,-5.408880234,3
1,19,4,2,0.67572916667,19,-49.10390091,-5.408880234,3
34,28,3,1,0.63637731481,60,-49.10160065,-5.350450039,3
34,19,3,6,0.66442129630,58,-49.09830093,-5.428299904,3
1,19,4,2,0.30744212963,15,-49.09749985,-5.395909786,3
34,28,3,1,0.63697916667,59,-49.0943985,-5.353750229,3
34,29,3,2,0.66453703704,61,-49.0904007,-5.42828989,3
34,24,3,4,0.67325231481,25,-49.08879852,-5.418529987,3
1,18,4,1,0.77380787037,39,-49.08620071,-5.336850166,3
1,18,4,1,0.77564814815,24,-49.08499908,-5.333030224,3
34,28,3,1,0.64666666667,43,-49.08330154,-5.428269863,3
34,27,3,7,0.62618055556,56,-49.08100128,-5.360410213,3
34,10,3,4,0.64327546296,50,-49.0802002,-5.360879898,3
1,13,4,3,0.45539351852,35,-49.07929993,-5.3894701,3
1,13,4,3,0.45546296296,40,-49.07929993,-5.389929771,3
1,18,4,1,0.54843750000,24,-49.07920074,-5.387770176,3
1,17,4,7,0.82329861111,37,-49.07910156,-5.387770176,3
34,28,3,1,0.61380787037,60,-49.07849884,-5.385290146,3
34,24,3,4,0.65076388889,55,-49.07830048,-5.384459972,3
34,27,3,7,0.67876157407,42,-49.07830048,-5.364749908,3
1,13,4,3,0.58944444444,28,-49.07820129,-5.36646986,3
1,18,4,1,0.58082175926,39,-49.0780983,-5.367599964,3
34,23,3,3,0.81077546296,42,-49.0780983,-5.367849827,3
1,13,4,3,0.45459490741,44,-49.07780075,-5.382659912,3
1,13,4,3,0.45606481481,52,-49.07759857,-5.395780087,3
34,30,3,3,0.67763888889,61,-49.07759857,-5.372039795,3
34,27,3,7,0.68047453704,56,-49.07749939,-5.372459888,3
1,13,4,3,0.45421296296,37,-49.07690048,-5.379209995,3
1,13,4,3,0.45399305556,19,-49.0766983,-5.377920151,3
1,13,4,3,0.45635416667,50,-49.0766983,-5.398869991,3
1,17,4,7,0.73167824074,48,-49.0766983,-5.378260136,3
1,13,4,3,0.45790509259,55,-49.07630157,-5.416749954,3
1,17,4,7,0.73537037037,27,-49.07630157,-5.419149876,3
34,15,4,5,0.23209490741,22,-49.07630157,-5.418139935,3
34,29,3,2,0.15263888889,37,-49.07260132,-5.353489876,3
34,15,4,5,0.26797453704,20,-49.07009888,-5.36371994,3
33,5,3,6,0.12131944444,24,-49.04570007,-5.371669769,3
4,23,5,1,0.02715277778,21,-44.37939835,-2.563319921,3
169,29,5,7,0.92770833333,18,-44.37929916,-2.561729908,3
169,31,5,2,0.59648148148,25,-44.37929916,-2.562190056,3
188,30,5,1,0.75224537037,25,-44.37929916,-2.563199997,3
37,10,3,4,0.83673611111,21,-44.37919998,-2.56317997,1
140,1,6,3,0.75511574074,16,-44.37919998,-2.562200069,3
37,8,3,2,0.39996527778,18,-44.37860107,-2.564029932,1
145,25,5,3,0.45157407407,20,-44.37820053,-2.552639961,3
21,19,5,4,0.97849537037,29,-44.37810135,-2.552629948,3
148,4,3,5,0.58055555556,24,-44.37799835,-2.552750111,3
227,28,5,6,0.47268518519,17,-44.37799835,-2.552730083,3
10,26,5,4,0.82028935185,22,-44.37779999,-2.552819967,3
11,20,4,3,0.93091435185,18,-44.37779999,-2.564150095,1
15,28,4,4,0.39825231481,31,-44.37779999,-2.552829981,3
42,21,5,6,0.55035879630,32,-44.37779999,-2.552870035,3
26,26,3,6,0.67509259259,22,-44.37770081,-2.552900076,3
40,25,5,3,0.72104166667,21,-44.37770081,-2.552839994,3
150,13,4,3,0.67746527778,15,-44.37770081,-2.552969933,2
46,28,4,4,0.31252314815,23,-44.37760162,-2.552959919,3
166,1,5,7,0.53252314815,19,-44.37760162,-2.552880049,3
154,6,5,5,0.36918981481,31,-44.37749863,-2.552969933,3
154,21,5,6,0.59593750000,16,-44.37749863,-2.552979946,3
171,23,4,6,0.34693287037,25,-44.37749863,-2.552979946,3
188,25,5,3,0.14109953704,32,-44.37749863,-2.553009987,3
37,10,3,4,0.87912037037,23,-44.37739944,-2.564189911,1
148,12,3,6,0.91935185185,27,-44.37739944,-2.552939892,3
150,29,4,5,0.46697916667,20,-44.37739944,-2.553100109,3
188,25,5,3,0.18879629630,32,-44.37739944,-2.553149939,3
217,20,5,5,0.43146990741,20,-44.37739944,-2.553070068,3
217,1,6,3,0.42114583333,21,-44.37739944,-2.553009987,3
32,18,5,3,0.52972222222,17,-44.37730026,-2.553090096,3
40,15,3,2,0.67123842593,17,-44.37720108,-2.553149939,3
42,28,4,4,0.17737268519,28,-44.37720108,-2.55321002,1
90,11,4,1,0.81196759259,24,-44.37720108,-2.553250074,3
150,26,4,2,0.95236111111,31,-44.3771019,-2.553189993,3
171,22,4,5,0.34465277778,35,-44.3769989,-2.553319931,3
25,13,5,5,0.54877314815,31,-44.37689972,-2.553309917,3
150,12,5,4,0.64826388889,19,-44.37689972,-2.55328989,3
166,1,5,7,0.94633101852,22,-44.37689972,-2.553329945,3
188,1,6,3,0.76258101852,19,-44.37689972,-2.564510107,3
217,5,5,4,0.69739583333,30,-44.37680054,-2.553380013,3
225,30,5,1,0.81415509259,38,-44.37680054,-2.553380013,3
19,4,5,3,0.64962962963,33,-44.37670135,-2.553469896,1
217,25,5,3,0.62822916667,23,-44.37670135,-2.553380013,3
217,28,5,6,0.40432870370,31,-44.37670135,-2.553459883,3
4,26,5,4,0.54238425926,32,-44.37649918,-2.553550005,3
26,26,3,6,0.67534722222,27,-44.37649918,-2.553580046,3
150,13,4,3,0.70225694444,27,-44.37649918,-2.553499937,2
22,27,4,3,0.61956018519,29,-44.37639999,-2.553519964,3
171,19,3,6,0.69144675926,32,-44.37639999,-2.553630114,3
148,1,3,2,0.76452546296,34,-44.37630081,-2.553679943,3
217,20,5,5,0.63298611111,25,-44.37630081,-2.553450108,3
227,31,5,2,0.41074074074,32,-44.37630081,-2.55366993,3
154,25,5,3,0.79993055556,33,-44.37620163,-2.553679943,3
217,12,5,4,0.48635416667,27,-44.37620163,-2.553709984,3
217,17,5,2,0.41200231481,22,-44.37620163,-2.553770065,3
23,3,5,2,0.62253472222,24,-44.37590027,-2.553910017,3
217,26,5,4,0.70349537037,31,-44.37590027,-2.55388999,3
22,27,4,3,0.60090277778,30,-44.37580109,-2.553930044,3
19,4,5,3,0.46856481481,31,-44.3757019,-2.553980112,3
150,13,4,3,0.61662037037,27,-44.3757019,-2.553940058,2
150,24,4,7,0.93417824074,16,-44.3757019,-2.554039955,3
15,28,4,4,0.60925925926,31,-44.37549973,-2.554130077,3
90,13,5,5,0.82637731481,38,-44.37549973,-2.554120064,3
42,21,5,6,0.30745370370,38,-44.37540054,-2.554150105,3
218,1,6,3,0.59371527778,33,-44.37540054,-2.554160118,3
15,28,4,4,0.39864583333,33,-44.37519836,-2.554290056,3
150,31,5,2,0.99016203704,29,-44.37509918,-2.554320097,3
69,5,4,2,0.57886574074,31,-44.375,-2.554369926,3
150,18,4,1,0.83721064815,22,-44.375,-2.554349899,3
188,27,5,5,0.71069444444,19,-44.375,-2.564630032,3
154,5,5,4,0.95118055556,35,-44.37490082,-2.554450035,3
154,24,5,2,0.59383101852,40,-44.37490082,-2.554430008,3
16,14,4,4,0.60122685185,78,-44.37480164,-2.880350113,3
37,11,3,5,0.05351851852,26,-44.37480164,-2.56456995,1
188,31,5,2,0.06122685185,20,-44.37480164,-2.564640045,3
217,6,5,5,0.36120370370,31,-44.37480164,-2.554549932,3
22,27,4,3,0.61927083333,32,-44.37469864,-2.554480076,3
37,11,3,5,0.23307870370,15,-44.37469864,-2.564709902,1
63,8,4,5,0.80527777778,22,-44.37469864,-2.564670086,3
123,1,6,3,0.81768518519,35,-44.37469864,-2.554539919,3
217,18,5,3,0.48094907407,22,-44.37469864,-2.554519892,3
32,18,5,3,0.43420138889,33,-44.37459946,-2.554490089,3
150,31,5,2,0.91802083333,22,-44.37459946,-2.554630041,3
22,27,4,3,0.60068287037,28,-44.37450027,-2.5546,3
217,20,5,5,0.43210648148,25,-44.37450027,-2.554660082,3
25,17,5,2,0.63759259259,22,-44.37440109,-2.560879946,3
32,6,5,5,0.68072916667,15,-44.37440109,-2.554680109,3
144,27,5,5,0.99049768519,36,-44.37440109,-2.554719925,3
188,10,5,2,0.59822916667,26,-44.37440109,-2.564340115,3
217,20,5,5,0.62788194444,25,-44.37440109,-2.554689884,3
4,26,5,4,0.39836805556,37,-44.3742981,-2.554769993,3
37,11,3,5,0.03798611111,19,-44.3742981,-2.564450026,1
150,26,4,2,0.95190972222,32,-44.3742981,-2.554699898,3
154,5,5,4,0.95107638889,35,-44.37419891,-2.554830074,3
188,28,5,6,0.25731481481,20,-44.37419891,-2.564460039,3
23,3,5,2,0.61939814815,31,-44.37409973,-2.55486989,3
144,28,5,6,0.29692129630,29,-44.37409973,-2.564399958,3
184,30,5,1,0.38187500000,17,-44.37409973,-2.56434989,3
184,30,5,1,0.76605324074,35,-44.37409973,-2.554860115,3
188,25,5,3,0.83527777778,16,-44.37409973,-2.564389944,3
217,18,5,3,0.43519675926,30,-44.37409973,-2.554860115,3
